Location,y,x,N,P,K,pH
peravurani,14.4681285,75.8545476,98,10,154,6.33
perambur,14.4456928,76.0789865,64,17,194,7.57
perambalur,14.4601199,76.0989904,95,7,103,8.02
pennagaram,14.3550247,76.0639312,95,10,190,6.34
pattukkottai,14.4193512,75.995316,98,21,177,7.38
paramathi Velur,14.4189499,75.9954139,84,17,135,6.72
paramakudi,14.4184414,75.9963614,98,10,138,6.45
pappireddippatti,14.4169319,75.995471,89,54,138,7.4
papanasam,14.3930352,75.9444581,64,8,180,6.06
panruti,14.265584,76.0273955,105,17,118,7.32
pallavaram,13.9291,75.9838,96,16,103,
palladam,14.2654521,76.0274062,71,9,172,8.24
palayamkottai,14.1835784,75.9170177,99,15,125,7.34
palani,14.1845743,75.9182227,85,14,103,7.82
palacode,13.9569,75.9376,119,7,198,
padmanabhapuram,14.5394878,75.9076229,60,9,165,8.12
ottapidaram,14.4409292,75.9472329,100,15,166,7.42
orathanadu,14.4547122,75.9391167,71,9,146,8.12
omalur,14.4536677,75.9416858,113,17,108,6.68
oddanchatram,14.4481275,75.9413042,64,15,179,7.86
nominated (Anglo-Indian community,14.444933,75.9426702,64,13,104,7.74
nilakottai,14.4214187,75.9242424,103,21,197,6.72
neyveli,14.3526342,76.1471114,51,9,155,8.01
natham,14.3224659,75.9934373,103,17,103,7.34
nannilam,13.8779,75.9434,79,6,181,
nanguneri,14.321495,75.9932045,107,19,194,7.44
namakkal,14.3216655,75.9943051,103,41,194,6.49
nagercoil,14.3983297,75.9202116,108,23,184,6.8
nagapattinam,14.4916421,76.1595788,65,15,185,8.06
mylapore,14.1032807,76.5579808,99,17,179,6.88
musiri,13.9922,75.9608,104,19,161,
mudhukulathur,14.1024847,76.5599066,61,11,198,7.86
modakkurichi,14.4766711,75.8595142,103,17,191,7.36
mettur,14.4760702,75.8591699,125,19,138,7.09
mettupalayam,14.4757899,75.8599172,115,19,192,6.67
melur,14.5147997,75.4440594,59,10,183,7.68
mayiladuthurai,13.9606,76.0138,74,7,184,
mannargudi,14.5143194,75.4447326,63,16,165,7.81
manapaarai,14.6832392,76.2519837,109,18,103,7.63
manamadurai,14.3866912,75.5805478,106,21,179,6.93
Mmnachanallur,14.3855354,75.5922088,99,19,195,7.24
mailam,14.4065193,75.5889261,74,14,180,7.5
maduravoyal,14.40552,75.5978326,119,17,184,6.72
maduranthakam,14.4078566,75.5992891,99,25,184,6.63
madurai West,14.3819228,75.5796337,68,17,103,7.68
madurai South,14.4091137,75.5811476,113,9,146,5.98
madurai North,14.3315243,75.9002245,69,15,160,7.73
madurai East,14.5112293,75.9121035,65,10,175,5.89
madurai Central,14.5129103,75.9126145,74,17,194,7.66
madavaram,14.5127758,75.9131798,68,13,133,6.43
madathukulam,14.5244122,75.871346,121,35,194,7.58
lalgudi,14.4650286,75.986706,99,10,295,7.64
kurinjipadi,4.4343148,76.0276134,59,8,91,7.99
kunnam,13.7830472,76.0511779,80,9,39,7.36
kumbakonam,14.5045043,75.9807325,95,17,171,6.7
kumarapalayam,14.5070184,75.9784329,54,10,149,8
kulithalai,14.2509778,76.0508904,110,9,118,8.3
krishnarayapuram,14.6140745,76.0734318,96,23,150,7.63
krishnagiri,14.4232171,75.859832,103,13,194,7.79
kovilpatti,14.0162324,75.3672154,79,10,104,8.08
kolathur,14.014998,75.3698404,71,13,155,7.95
kinathukadavu,14.0112968,75.379706,56,10,169,7.81
kilvelur,14.4720024,75.9199365,76,10,171,7.67
kilpennathur,14.3963385,75.8801195,91,15,161,7.65
killiyoor,14.398963,75.8804171,79,14,144,7.7
kavundampalayam,14.3318718,75.882638,91,16,195,7.65
kattumannarkoil,14.3556925,76.0631721,103,22,164,7.8
katpadi,14.3552119,76.0654373,94,9,198,7.76
karur,14.3034686,75.9020197,66,15,149,7.85
karaikudi,14.303045,75.9026702,59,17,160,7.73
kanniyakumari,14.3041008,75.9030949,126,57,195,8.13
kangayam,14.304032,75.903543,95,17,181,7.54
kancheepuram,14.3036793,75.9038371,53,13,95,7.97
kallakurichi,14.3326579,76.0373652,115,17,104,6.88
kalasapakkam,14.4869137,75.9424025,126,79,160,7.31
kadayanallur,14.4896687,75.9417456,94,25,174,7.53
k. v. Kuppam,14.4894108,75.9440358,113,25,194,7.14
jolarpet,14.4882913,75.9448923,113,17,198,7.57
jayankondam,14.4867472,75.9410327,124,23,184,7.33
hosur,14.4892971,75.9430725,69,11,174,7.98
harur,14.4887533,75.9445404,91,19,169,6.53
harbour,14.4885972,75.9449908,59,8,125,7.76
gummidipoondi,14.4877274,75.9444182,59,10,171,8.1
gudiyattam,14.3622791,75.8876395,113,19,118,7.49
gudalur,14.3651296,75.8888379,51,9,99,8.1
gobichettipalayam,14.3111479,75.9682686,65,9,119,4.72
gingee,14.3116028,75.9697622,121,25,81,7.18
gangavalli,14.1029122,76.0047699,54,7,113,8.87
gandharvakottai,14.4682295,75.878994,65,58,126,8.15
erode (West),14.4602439,75.9258697,95,7,194,1.55
erode (East),14.4660154,75.9341263,71,63,165,7.66
egmore,14.4587512,75.9275233,85,21,139,7.54
edapadi,14.4100066,75.937756,113,25,175,7.34
dr. Radhakrishnan Nagar,14.4772192,76.1019268,76,10,103,7.96
dindigul,14.476627,76.102274,60,10,154,8.05
dharmapuri,14.4773128,76.1021119,55,13,58,8.14
dharapuram,14.2655156,76.0279072,109,19,108,6.79
cumbum,14.2624848,76.0305595,100,18,198,6.27
cuddalore,14.2878338,75.9915007,108,17,169,6.83
coonoor,14.2768115,75.930861,84,16,200,7.76
colachal,14.2768042,75.9319043,129,23,200,7.36
coimbatore North,14.3819335,76.0926497,113,22,200,6.61
coimbatore (South),14.4018175,75.9804947,76,11,113,7.72
chidambaram,14.402054,75.981526,103,10,169,6.67
cheyyur,14.4018614,75.9810852,66,9,176,8.2
cheyyar,14.5114752,75.9494384,113,23,149,7.04
chepauk-Thiruvallikeni,14.2840487,14.2840487,95,15,191,7.44
chengam,14.2846981,75.9756317,118,19,199,6.7
chengalpattu,14.3301119,75.9621723,118,15,195,6.78
bodinayakanur,14.2711195,76.0913066,84,10,198,7.99
bhuvanagiri,14.2720903,76.1122954,91,17,194,6.36
bhavanisagar,14.3660998,75.8895529,51,9,194,8.12
bhavani,14.4759002,75.9789025,98,17,160,7.51
bargur,14.5537733,75.856525,103,13,194,7.55
avanashi,14.355805,75.9786988,55,8,198,7.75
avadi,14.4644243,75.893474,113,17,149,7.32
attur,14.4364897,75.8930913,51,10,199,7.83
athoor,14.4361839,75.8939283,64,13,171,7.66
Aauppukkottai,14.3034642,75.8499989,65,25,194,7.62
ariyalur,14.3068142,75.8533801,84,10,195,7.77
arcot,14.3104618,75.8503419,94,8,155,6.28
aravakurichi,14.309592,75.8469632,108,23,185,7.44
aranthangi,14.3113946,75.8513278,75,25,198,7.03
arani,14.3077703,75.8516472,109,16,185,7.27
Arakkonam,14.3035758,75.852634,113,13,169,6.44
anthiyur,14.1226183,76.0028654,94,8,169,8.14
anna Nagar,14.1243372,76.0027997,75,9,185,7.99
andipatti,14.1244696,76.0040328,75,13,194,7.7
Aaaikattu,14.1693798,75.9775502,124,8,143,5.61
ambur,14.2179321,76.0283617,101,36,165,7.5
ambattur,14.0833142,75.8578384,73,11,154,7.96
ambasamudram,14.083309,75.8592412,97,75,144,7.5
alangulam,14.1679513,75.996058,113,21,155,7.01
alangudi,14.1661517,76.0023236,75,9,108,7.78
alandur,14.1714777,75.9987724,84,9,125,5.89
